私	I
馬	horse
牛	cow
羊	sheep
豚	pig
うさぎ	rabbit
ねずみ	mouse
ライオン	lion
虎	tiger
象	elephant
熊	bear
猿	monkey
ペンギン	penguin
パンダ	panda
キリン	giraffe
スポーツ	sport
野球	baseball
サッカー	soccer
バスケットボール	basketball
テニス	tennis
バレーボール	volleyball
水泳	swimming
スキー	skiing
ジョギング	jogging
卓球	table tennis
バドミントン	badminton
車	car
バス	bus
電車	train
飛行機	airplane
船	ship
自転車	bicycle
バイク	motorcycle
タクシー	taxi
地下鉄	subway
ボート	boat
服	clothes
シャツ	shirt
Tシャツ	T-shirt
ズボン	pants
ジーンズ	jeans
スカート	skirt
ドレス	dress
コート	coat
ジャケット	jacket
帽子	hat
靴	shoes
靴下	socks
手袋	gloves
時計(腕時計)	watch
眼鏡	glasses
傘	umbrella
歌	song
ピアノ	piano
ギター	guitar
バイオリン	violin
ドラム	drum
楽器	musical instrument
映画	movie
新聞	newspaper
雑誌	magazine
手紙	letter
ゲーム	game
おもちゃ	toy
人形	doll
花	flower
木	tree
葉	leaf
草	grass
桜	cherry blossom
バラ	rose
チューリップ	tulip
お金	money
円	yen
ドル	dollar
仕事	job
医者	doctor
看護師	nurse
警察官	police officer
消防士	firefighter
歌手	singer
俳優	actor
画家	painter
科学者	scientist
農家	farmer
コック	cook
料理人	chef
店員	clerk
〜です(主語が私)	am
〜です(主語が三人称単数)	is
〜です(主語が二人称・複数)	are
〜だった(主語が私・三人称単数)	was
〜だった(主語が二人称・複数)	were
持つ	have
する	do
作る(作成)	make
作る(建設)	build
作る(創造)	create
行く	go
来る	come
見る(視界に入る)	see
見る(目を向ける)	look
見る(注視・観賞)	watch
聞く(自然と耳に入る)	hear
聞く(意識して耳を傾ける)	listen
話す(発話する)	speak
話す(会話する)	talk
言う	say
教える(知らせる)	tell
教える(知識を授ける)	teach
読む	read
書く	write
食べる	eat
飲む	drink
料理する	cook
買う	buy
売る	sell
使う	use
助ける	help
歩く	walk
走る	run
泳ぐ	swim
飛ぶ	fly
踊る	dance
歌う	sing
遊ぶ	play
勉強する	study
学ぶ	learn
知る	know
考える	think
理解する	understand
覚える	remember
忘れる	forget
好きだ	like
愛する	love
欲しい	want
必要とする	need
始める(開始する)	begin
始める(出発・スタートする)	start
終える(完了する)	finish
終わる	end
続ける	continue
止まる	stop
立つ	stand
座る	sit
眠る	sleep
起きる	wake up
住む	live
働く	work
休む	rest
笑う	laugh
泣く	cry
微笑む	smile
楽しむ	enjoy
出会う	meet
訪ねる	visit
待つ	wait
取る	take
与える	give
持ってくる	bring
送る	send
受け取る	receive
開ける	open
閉める	close
洗う	wash
掃除する	clean
試みる	try
描く	draw
塗る	paint
変える	change
動く	move
成長する	grow
落ちる	fall
跳ぶ	jump
押す	push
引く	pull
投げる	throw
捕まえる	catch
打つ	hit
切る	cut
壊す	break
直す	fix
答える(動詞)	answer
尋ねる	ask
信じる	believe
心配する	worry
驚く	surprise
大きい	big
小さい	small
長い	long
短い	short
背が高い	tall
低い	low
高い(高さ・程度が)	high
広い	wide
狭い	narrow
深い	deep
浅い	shallow
速い	fast
遅い	slow
強い	strong
弱い	weak
重い	heavy
軽い	light
熱い	hot
冷たい	cold
暖かい	warm
涼しい	cool
新しい	new
古い(物が古い)	old
年取った(人が年配の)	old
若い	young
易しい	easy
難しい	difficult
簡単	simple
複雑	complex
悪い	bad
正しい	right
間違った	wrong
真実	true
偽の	false
美しい	beautiful
かわいい	cute
ハンサムな	handsome
醜い	ugly
きれいな	clean
汚い	dirty
明るい	bright
暗い	dark
うるさい	noisy
静かな	quiet
忙しい	busy
暇な	free
幸せな	happy
悲しい	sad
楽しい	fun
退屈な	boring
面白い	interesting
怒った	angry
疲れた	tired
眠い	sleepy
空腹	hungry
喉が渇いた	thirsty
病気の	sick
元気な	fine
健康な	healthy
甘い	sweet
苦い	bitter
酸っぱい	sour
辛い	spicy
おいしい	delicious
親切な	kind
優しい	gentle
有名な	famous
人気の	popular
特別な	special
重要な	important
危険な	dangerous
安全な	safe
高価な	expensive
安い	cheap
お金持ちの	rich
貧しい	poor
正直な	honest
陽気な	cheerful
内気な	shy
賢い	smart
勤勉な	diligent
怠惰な	lazy
勇敢な	brave
多くの(可算名詞)	many
たくさんの(不可算名詞)	much
いくらかの	some
少しの(可算名詞)	a few
少しの(不可算名詞)	a little
全ての	all
それぞれの	each
すべての	every
ない	no
他の	other
別の	another
同じ	same
違う	different
中に	in
上に(接触)	on
下に(覆われた状態)	under
上に(離れた上方)	above
下に(離れた下方)	below
近くに	near
遠くに	far
横に	beside
〜の前に(前置詞)	before
〜の後に(前置詞)	after
〜の間	between
〜の中へ	into
〜から	from
〜へ	to
〜で	at
〜と	with
〜のために	for
〜について	about
〜を通って	through
〜の周りに	around
そして	and
しかし	but
または	or
だから	so
なぜなら	because
もし	if
〜のとき	when
〜の前に(接続詞)	before
〜の後(接続詞)	after
〜まで	until
〜の間中(接続詞)	while
ここに	here
そこに	there
それから	then
いつも	always
たいてい	usually
よく	often
時々	sometimes
めったに〜ない	rarely
決して〜ない	never
最近	recently
すぐに	soon
後で	later
ゆっくり	slowly
注意深く	carefully
静かに	quietly
非常に	very
本当に	really
〜も(同様に)	too
また	also
ほんの	just
〜だけ	only
両方	both
何か	something
何でも	anything
何も	nothing
すべて	everything
誰か	someone
誰でも	anyone
誰も	no one
皆	everyone
どこか	somewhere
どこでも(どんな場所でも)	anywhere
どこにも〜ない	nowhere
どこでも(全ての場所で)	everywhere
できる	can
できた	could
〜だろう(will)	will
〜だろう(would)	would
〜してもよい	may
〜かもしれない	might
〜すべき	should
〜しなければならない(must)	must
〜しなければならない(have to)	have to
〜したい	want to
〜が好き	like to
〜しよう	let's
〜しましょう	shall
